",",[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
\boxed{-412}=-412,=,1,0.3448839783668518,(,0.14727234840393066,⊆,0.10495300590991974,0.06453683227300644,4,0.0002641563187353313,90,0.00030098945717327297,77,NULL
\boxed{797}=797,=,{,0.9952551126480103,",",0.0014926483854651451,&,0.0014774436131119728,2.1175928850425407e-06,27,1.131226525785678e-07,84,2.4814582388898998e-08,177,NULL
\boxed{915}=915,=,{,0.8899991512298584,&,0.035408761352300644,),0.0347958579659462,3.539176032063551e-05,42,2.8823194497817894e-07,443,8.830307933749282e-07,249,NULL
\boxed{712}=712,=,\,0.41787272691726685,is,0.12436383217573166,=,0.07036527991294861,0.07036527991294861,3,0.00018590220133773983,47,0.0006347842863760889,26,3
\boxed{-298}=-298,=,],0.8452392220497131,r,0.058313045650720596,s,0.03591589629650116,7.054267189232633e-05,77,7.777685823384672e-06,331,0.00014339385961648077,43,NULL
\boxed{-15}=-15,=,0,0.43237778544425964,2,0.3849625289440155,(,0.040976449847221375,0.0009535999270156026,15,4.0153146983357146e-05,89,4.6100913664304244e-07,514,NULL
\boxed{-261}=-261,=,(,0.3321998715400696,h,0.1734459400177002,],0.06015399470925331,0.02514965645968914,8,4.922495008941041e-06,530,0.00021722266683354974,90,NULL
\boxed{-521}=-521,=,&,0.29056110978126526,},0.2667239010334015,^,0.16776564717292786,0.015954213216900826,9,0.003210906870663166,15,0.00016543210949748755,67,NULL
\boxed{150}=150,=,and,0.20348110795021057,(,0.18418294191360474,\,0.14724814891815186,0.01632186584174633,12,3.014029971382115e-06,240,1.5051678929012269e-05,115,NULL
\boxed{-841}=-841,=,{,0.6040884852409363,(,0.33504605293273926,&,0.01899579167366028,0.00169948092661798,8,2.5376584744662978e-05,68,2.18993704947934e-06,220,NULL
\boxed{-786}=-786,=,{,0.8826020359992981,is,0.020908918231725693,9,0.010153234004974365,0.0001308887149207294,48,2.219583620899357e-05,113,4.626900533821754e-07,928,NULL
\boxed{-155}=-155,=,{,0.45649972558021545,),0.18750083446502686,4,0.12051109969615936,0.0242710392922163,8,0.009151765145361423,9,8.179110409400892e-06,102,NULL
\boxed{-300}=-300,=,(,0.33691370487213135,),0.30603817105293274,},0.1459360271692276,0.007328210398554802,10,4.68878624815261e-06,169,4.729140528070275e-06,165,NULL
\boxed{-67}=-67,=,{,0.6236478686332703,&,0.2002764642238617,(,0.152056023478508,0.002257830463349819,6,9.809344919631258e-05,26,1.0884548373724101e-06,192,NULL
\boxed{-560}=-560,=,},0.42000752687454224,or,0.24861732125282288,&,0.14499133825302124,0.0001346845383523032,61,4.85164036945207e-07,1023,8.902957233658526e-06,246,NULL
\boxed{719}=719,=,{,0.7050026655197144,",",0.09155185520648956,&,0.08927120268344879,0.008369694463908672,9,1.5412268112413585e-05,67,4.480386451177765e-06,134,NULL
\boxed{300}=300,=,=,0.30125099420547485,\,0.22928176820278168,(,0.13966651260852814,0.30125099420547485,1,2.2723530491930433e-05,181,0.0015902342274785042,25,1
\boxed{896}=896,=,",",0.5321512818336487,{,0.19099381566047668,&,0.15643085539340973,0.0006253007450141013,19,0.0004689730703830719,20,3.1434087759407703e-06,200,NULL
\boxed{769}=769,=,{,0.8983755707740784,&,0.08774136751890182,or,0.0068762898445129395,0.00016988055722322315,10,5.009677011003077e-07,157,1.2660385095841775e-07,300,NULL
\boxed{-378}=-378,=,is,0.3244799077510834,{,0.22071145474910736,=,0.12362562119960785,0.12362562119960785,3,0.00012732767208945006,93,0.0003099814639426768,59,3
\boxed{478}=478,=,{,0.8455339074134827,is,0.08034597337245941,(,0.031582415103912354,0.009029548615217209,4,4.58655767943128e-06,124,0.0002595912083052099,23,NULL
\boxed{-951}=-951,=,{,0.7982720732688904,),0.03405965119600296,},0.0177729744464159,0.007564118131995201,11,0.0004511714796535671,39,3.735207792487927e-05,128,NULL
\boxed{998}=998,=,{,0.8341245651245117,",",0.12707404792308807,&,0.024964729323983192,7.187256414908916e-05,16,7.261277232828434e-07,171,2.717358938753023e-06,100,NULL
\boxed{-992}=-992,=,{,0.23730577528476715,3,0.14330606162548065,2,0.12264972180128098,0.00035084280534647405,64,8.220926247304305e-06,315,6.283324637479382e-06,348,NULL
\boxed{733}=733,=,{,0.2718527019023895,\,0.24012571573257446,&,0.2024577409029007,0.004057683981955051,10,6.70240069666761e-06,118,2.9417822133837035e-06,210,NULL
\boxed{268}=268,=,{,0.7207565903663635,&,0.15485575795173645,",",0.049987927079200745,0.002568882890045643,12,3.369215164639172e-07,303,2.5737404030223843e-07,339,NULL
\boxed{-994}=-994,=,{,0.5366562008857727,(,0.29262036085128784,2,0.05219903588294983,0.0002038381207967177,40,1.617115231056232e-06,302,1.8297397730293596e-07,825,NULL
\boxed{-812}=-812,=,),0.8938843607902527,},0.0361250601708889,(,0.03109290450811386,0.010113968513906002,5,9.790222975425422e-06,71,5.520756985788466e-06,93,NULL
\boxed{83}=83,=,is,0.3414895534515381,&,0.1769091933965683,+,0.08276146650314331,0.030056079849600792,9,2.5715278752613813e-05,118,1.5049523426569067e-05,172,NULL
\boxed{-637}=-637,=,{,0.4459472596645355,&,0.15047426521778107,),0.0961972326040268,0.05684981495141983,5,0.0016086989780887961,21,6.738946831319481e-05,72,NULL
\boxed{905}=905,=,{,0.5371637344360352,&,0.22310377657413483,",",0.0686272457242012,0.0001948970020748675,30,6.828458936070092e-07,334,1.36536687023181e-06,255,NULL
\boxed{877}=877,=,{,0.9883241653442383,1,0.004624206107109785,",",0.00379554252140224,2.151637090719305e-05,21,8.88357317307964e-06,33,6.023149126122007e-06,37,NULL
\boxed{587}=587,=,{,0.9566994905471802,",",0.024829169735312462,1,0.006765426602214575,0.00020071618200745434,11,5.415342911874177e-06,38,2.445499831082998e-06,66,NULL
\boxed{-351}=-351,=,4,0.5497322678565979,30,0.06261854618787766,6,0.062081899493932724,0.012267418205738068,9,1.2980937924567115e-07,1877,3.958063743425555e-08,3131,NULL
\boxed{316}=316,=,&,0.8026110529899597,\,0.061407558619976044,=,0.05967739224433899,0.05967739224433899,3,1.142715788660098e-07,683,8.78620267030783e-05,27,3
\boxed{-904}=-904,=,{,0.504526674747467,(,0.25725534558296204,&,0.12547336518764496,0.0037099141627550125,8,5.347877731765038e-07,411,1.1831599522338365e-06,284,NULL
\boxed{-505}=-505,=,(,0.33021050691604614,=,0.24289566278457642,&,0.13678044080734253,0.24289566278457642,2,0.0006007154006510973,22,0.0003264058905187994,26,2
\boxed{-357}=-357,=,gives,0.6684794425964355,1,0.22873596847057343,&,0.04556015133857727,0.0005767795955762267,19,6.046477665222483e-06,143,5.722137430552721e-09,2911,NULL
\boxed{-241}=-241,=,{,0.9317129850387573,&,0.043715737760066986,},0.010532970540225506,1.207063974106859e-06,129,4.608239123626845e-06,78,1.5100687278390978e-07,343,NULL
\boxed{-582}=-582,=,{,0.5445634722709656,(,0.0968470647931099,&,0.07882114499807358,0.0027861683629453182,20,2.6768777388497256e-05,275,3.1226169085130095e-05,246,NULL
\boxed{587}=587,=,{,0.9566994905471802,",",0.024829169735312462,1,0.006765426602214575,0.00020071618200745434,11,5.415342911874177e-06,38,2.445499831082998e-06,66,NULL
\boxed{-752}=-752,=,),0.30877920985221863,},0.1499646157026291,300,0.14682552218437195,0.023986103013157845,9,4.300327418604866e-05,135,3.407672011235263e-06,364,NULL
\boxed{-36}=-36,=,{,0.8669478893280029,one,0.0303544569760561,\,0.021932033821940422,0.001032783417031169,14,1.444594488475559e-07,915,3.5298609191158903e-07,621,NULL
\boxed{-902}=-902,=,),0.3017879128456116,&,0.21120454370975494,{,0.1950177252292633,0.004440324380993843,14,3.5600205592345446e-06,220,7.724637725914363e-06,158,NULL
\boxed{967}=967,=,{,0.944236159324646,",",0.031975433230400085,),0.004262793343514204,0.00011638028809102252,22,9.356726513942704e-05,25,9.869539098872337e-06,59,NULL
\boxed{515}=515,=,{,0.9120644330978394,&,0.03458646312355995,(,0.01573195494711399,0.006961513310670853,5,3.2075479339255253e-07,400,2.3189413695945404e-05,58,NULL
\boxed{784}=784,=,{,0.9157723188400269,",",0.03428810462355614,(,0.025106055662035942,0.00044256093678995967,11,1.1140551805510768e-06,168,1.569744199514389e-06,135,NULL
\boxed{-438}=-438,=,&,0.3092668056488037,),0.24601984024047852,=,0.1111515611410141,0.1111515611410141,3,0.0007706111064180732,45,0.000414897600421682,62,3
\boxed{-2}=-2,=,{,0.7420293092727661,},0.061935193836688995,),0.03317400440573692,0.0011106247548013926,24,8.282715498353355e-06,163,9.324473649030551e-05,63,NULL
\boxed{93}=93,=,of,0.3420874774456024,60,0.1245592013001442,25,0.07379135489463806,0.014091051183640957,14,2.032030351983849e-05,232,0.0001410695695085451,108,NULL
\boxed{-969}=-969,=,{,0.4187415838241577,),0.09487194567918777,1,0.08915802836418152,0.07360004633665085,5,3.427454430493526e-05,151,9.885844337986782e-05,88,NULL
\boxed{-974}=-974,=,{,0.5367416739463806,(,0.31732243299484253,&,0.039172377437353134,0.003807269735261798,10,5.336351023288444e-06,250,1.5490734313061694e-06,489,NULL
\boxed{565}=565,=,{,0.4220041334629059,&,0.19987745583057404,\,0.16480058431625366,0.0055351173505187035,10,2.2630379703514336e-07,810,5.070309271104634e-06,195,NULL
\boxed{779}=779,=,1,0.8181723356246948,{,0.07682789862155914,",",0.027198798954486847,0.004777729976922274,8,9.098924351746973e-07,222,6.785913342355343e-07,251,NULL
\boxed{953}=953,=,{,0.8647707104682922,1,0.06570373475551605,),0.013675790280103683,0.00010538836068008095,36,3.745585217984626e-06,154,5.482810934154259e-07,430,NULL
\boxed{-342}=-342,=,{,0.5833589434623718,(,0.23325824737548828,&,0.09313371777534485,0.007289824075996876,8,1.017766521727026e-06,323,2.855567799997516e-06,202,NULL
\boxed{-895}=-895,=,{,0.9199844598770142,+,0.021631216630339622,=,0.015610840171575546,0.015610840171575546,3,0.0006707351421937346,18,5.1167495257686824e-05,58,3
\boxed{-186}=-186,=,4,0.34211570024490356,(,0.11504927277565002,a,0.05494645982980728,0.0035412232391536236,27,0.03701956570148468,6,0.011093029752373695,15,NULL
\boxed{42}=42,=,&,0.8066624402999878,=,0.05554421618580818,+,0.027491947636008263,0.05554421618580818,2,3.122421185253188e-05,110,7.532901508966461e-05,62,2
\boxed{-927}=-927,=,),0.4511224627494812,},0.3390759229660034,(,0.08565124124288559,0.009687427431344986,7,5.202583270147443e-05,51,0.0024963219184428453,10,NULL
\boxed{-5}=-5,=,{,0.7708219885826111,\,0.10682363063097,},0.034990981221199036,0.0009272468741983175,17,0.0002258984895888716,39,9.237600170308724e-05,55,NULL
\boxed{39}=39,=,&,0.9220656752586365,{,0.04323916509747505,is,0.012230806984007359,0.0003945103962905705,8,3.7958220673317555e-06,66,1.1629889741016086e-05,39,NULL
\boxed{674}=674,=,{,0.8867776393890381,(,0.09228642284870148,&,0.01503884606063366,0.0015267624985426664,4,2.4794837827357696e-06,66,3.281073759353603e-07,143,NULL
\boxed{153}=153,=,{,0.5087578296661377,-,0.12290424108505249,+,0.10496988892555237,0.06439055502414703,4,0.011040504090487957,9,0.006150635425001383,12,NULL
\boxed{301}=301,=,\,0.8546515107154846,&,0.14242126047611237,$,0.0012700485531240702,8.94293625606224e-05,8,3.564172956771472e-08,90,1.10625471450021e-07,49,NULL
\boxed{-192}=-192,=,1,0.21465176343917847,0,0.15726740658283234,),0.10165572911500931,0.0636531263589859,5,0.00021980085875838995,73,2.4433358703390695e-05,215,NULL
\boxed{-837}=-837,=,{,0.9898695349693298,(,0.002856683451682329,},0.002234914107248187,0.0005249644163995981,6,2.2119940695120022e-05,15,4.992271897208411e-06,32,NULL
\boxed{-832}=-832,=,{,0.6240183115005493,(,0.15595325827598572,=,0.07916466891765594,0.07916466891765594,3,3.25497894664295e-05,104,2.0488505469984375e-05,135,3
\boxed{371}=371,=,{,0.7024655938148499,\,0.08779584616422653,300,0.080108143389225,0.00011007136345142499,68,5.583376605500234e-07,893,3.8705580664100125e-05,112,NULL
\boxed{342}=342,=,{,0.7526156902313232,1,0.12973876297473907,&,0.09506439417600632,0.0021326446440070868,7,3.162468374284799e-06,93,3.0016983600944513e-06,95,NULL
\boxed{228}=228,=,\,0.9337097406387329,gives,0.019809527322649956,.,0.01593123748898506,0.007808745838701725,4,1.060945464814722e-08,3261,2.1156868115213e-06,241,NULL
\boxed{-254}=-254,=,{,0.678735077381134,-,0.05903521925210953,s,0.044712603092193604,0.02895675040781498,7,2.6260013328283094e-05,83,8.983694715425372e-05,46,NULL
\boxed{-855}=-855,=,=,0.17345666885375977,),0.14882734417915344,},0.14233539998531342,0.17345666885375977,1,2.054296783171594e-05,247,5.33888342033606e-05,147,1
\boxed{7}=7,=,is,0.3672983944416046,&,0.2679576277732849,{,0.18960131704807281,0.0012299810769036412,15,3.116889047305449e-06,291,0.0003731320903170854,25,NULL
\boxed{-37}=-37,=,{,0.5297137498855591,(,0.3027113974094391,\,0.045540034770965576,0.002398749114945531,15,5.021253673476167e-05,64,3.0102462915237993e-05,88,NULL
\boxed{-718}=-718,=,(,0.3075942099094391,&,0.2724478840827942,is,0.13418330252170563,0.06032257527112961,5,0.00011680409807013348,77,0.00014371768338605762,64,NULL
\boxed{396}=396,=,{,0.649387776851654,&,0.15832218527793884,",",0.10016748309135437,0.00036623270716518164,13,2.0825210356179014e-07,423,2.3019113370992272e-07,405,NULL
\boxed{-164}=-164,=,s,0.43257060647010803,f,0.2101336121559143,0,0.11241947114467621,0.001202610437758267,33,0.009096694178879261,11,1.9992905436083674e-05,220,NULL
\boxed{-820}=-820,=,[UNK],0.25133824348449707,f,0.14055153727531433,",",0.10418996959924698,0.013290137983858585,13,0.014990517869591713,12,0.010950868017971516,17,NULL
\boxed{954}=954,=,{,0.9027894735336304,",",0.04310049116611481,),0.009565896354615688,2.7477410185383633e-05,58,2.031835947491345e-06,210,1.0272764257024392e-06,293,NULL
\boxed{-834}=-834,=,{,0.5230855941772461,(,0.35831108689308167,=,0.03970450535416603,0.03970450535416603,3,5.585629310189688e-07,464,8.427286388723587e-07,378,3
\boxed{-252}=-252,=,=,0.27070555090904236,),0.22016476094722748,{,0.1292710304260254,0.27070555090904236,1,1.752529715304263e-05,122,9.430222576156666e-07,471,1
\boxed{98}=98,=,{,0.582491934299469,&,0.2716107964515686,1,0.027547961100935936,0.0024734900798648596,13,5.896712309549912e-07,415,1.0457795724505559e-05,118,NULL
\boxed{666}=666,=,&,0.7010126709938049,1,0.14053773880004883,{,0.07933138310909271,0.0010156173957511783,14,8.707310144018265e-07,244,5.329272312337707e-08,1025,NULL
\boxed{-62}=-62,=,&,0.851305365562439,{,0.11960754543542862,(,0.02266848273575306,0.00028574184398166835,7,6.36138065601699e-05,17,9.495125596004073e-06,45,NULL
\boxed{-555}=-555,=,{,0.7124125361442566,&,0.05801140516996384,r,0.03960525989532471,0.00032406789250671864,52,0.0016237628879025578,18,6.238496280275285e-05,110,NULL
\boxed{156}=156,=,&,0.3718893229961395,",",0.13660666346549988,degrees,0.06482689082622528,0.02025492675602436,10,0.0037642340175807476,22,0.002855034079402685,31,NULL
\boxed{-887}=-887,=,{,0.9974921941757202,=,0.00041664877790026367,s,0.00035342350020073354,0.00041664877790026367,2,4.3644911784213036e-05,16,1.9067385892412858e-06,54,2
\boxed{966}=966,=,",",0.633832573890686,{,0.2410285770893097,&,0.04015449807047844,0.00010994705371558666,41,7.184896730905166e-06,109,2.2000527621912624e-07,718,NULL
\boxed{133}=133,=,\,0.7775409817695618,{,0.03012634813785553,=,0.020257724449038506,0.020257724449038506,3,2.5248868951166514e-06,551,3.0690971470903605e-05,151,3
\boxed{-423}=-423,=,2,0.29323551058769226,&,0.1747104525566101,1,0.096885085105896,0.03950800746679306,6,1.0987818313878961e-05,404,7.244269909278955e-06,515,NULL
\boxed{316}=316,=,&,0.8026110529899597,\,0.061407558619976044,=,0.05967739224433899,0.05967739224433899,3,1.142715788660098e-07,683,8.78620267030783e-05,27,3
\boxed{652}=652,=,{,0.396998792886734,1,0.18053549528121948,&,0.15294694900512695,0.023671528324484825,8,1.59650226123631e-05,149,3.173122968291864e-05,108,NULL
\boxed{609}=609,=,&,0.9232532382011414,1,0.034097958356142044,{,0.025955455377697945,3.0179644454619847e-05,36,1.640993474438801e-07,425,8.578616075283207e-07,202,NULL
\boxed{-473}=-473,=,{,0.3759699761867523,(,0.15162120759487152,1,0.0929255336523056,0.0025779951829463243,16,8.575453875891981e-07,860,4.1263851926487405e-06,369,NULL
\boxed{-823}=-823,=,(,0.35522371530532837,&,0.21010972559452057,2,0.18235266208648682,0.04098720848560333,5,1.6088412166936905e-06,441,6.913046490808483e-06,224,NULL
\boxed{-207}=-207,=,=,0.26689428091049194,),0.24174055457115173,(,0.16816973686218262,0.26689428091049194,1,0.00029793151770718396,73,0.0002207510406151414,98,1
\boxed{-579}=-579,=,{,0.7921438813209534,&,0.12442215532064438,(,0.026490727439522743,0.00852605514228344,4,1.5901871392998146e-06,292,1.064369917003205e-05,119,NULL
\boxed{-275}=-275,=,300,0.2262977510690689,0,0.17347970604896545,(,0.1595890074968338,5.7790563005255535e-05,99,9.34856325329747e-06,270,2.028023345701513e-06,625,NULL
\boxed{385}=385,=,&,0.7488514184951782,{,0.22125960886478424,1,0.008168726228177547,0.0001987712166737765,17,3.269583146447985e-07,432,5.659932256207867e-08,1030,NULL
\boxed{838}=838,=,is,0.6575873494148254,{,0.3142526149749756,=,0.015145906247198582,0.015145906247198582,3,9.341276381746866e-06,63,5.805918590340298e-06,79,3
\boxed{423}=423,=,&,0.6564823985099792,300,0.09616304188966751,{,0.07679914683103561,0.05863435938954353,4,1.7830996512202546e-05,175,0.00010226808080915362,57,NULL
\boxed{567}=567,=,{,0.7171874046325684,&,0.18689405918121338,},0.061257269233465195,0.0017050669994205236,8,6.530201517307432e-07,201,2.2254821487877052e-06,124,NULL
\boxed{-986}=-986,=,{,0.47269079089164734,(,0.42005038261413574,1,0.02211451716721058,0.003813086310401559,9,3.7230672660371056e-06,276,9.461878107686061e-06,175,NULL
\boxed{158}=158,=,{,0.6599283218383789,&,0.17631274461746216,(,0.08349840342998505,0.0001938945206347853,38,1.7999072952079587e-05,192,0.0003221235529053956,30,NULL
\boxed{-178}=-178,=,=,0.39499008655548096,179,0.11173906177282333,add,0.06726120412349701,0.39499008655548096,1,0.0002810936130117625,140,5.075111039332114e-05,360,1
\boxed{-769}=-769,=,{,0.9594341516494751,),0.009766019880771637,(,0.008654209785163403,0.0012331113684922457,7,1.590253532413044e-06,296,1.6406202973939799e-07,946,NULL
\boxed{-670}=-670,=,},0.8663705587387085,(,0.06945192813873291,_,0.009309587068855762,0.008697273209691048,4,0.0008929982432164252,12,6.242654490051791e-05,33,NULL
\boxed{289}=289,=,{,0.9371921420097351,\,0.017415860667824745,(,0.015551664866507053,0.0023516053333878517,6,3.987170202890411e-07,271,3.634856693679467e-05,26,NULL
\boxed{-321}=-321,=,{,0.6875770092010498,(,0.19651976227760315,=,0.047586094588041306,0.047586094588041306,3,6.531481631100178e-07,451,2.9216135999377e-07,640,3
\boxed{176}=176,=,&,0.22270114719867706,is,0.19048148393630981,=,0.1735922247171402,0.1735922247171402,3,0.00014204530452843755,79,0.000120601209346205,91,3
\boxed{133}=133,=,\,0.7775409817695618,{,0.03012634813785553,=,0.020257724449038506,0.020257724449038506,3,2.5248868951166514e-06,551,3.0690971470903605e-05,151,3
\boxed{-282}=-282,=,(,0.33755722641944885,30,0.13426841795444489,[UNK],0.1151643767952919,0.001734980964101851,27,0.0043392423540353775,18,1.7251557437703013e-05,252,NULL
\boxed{252}=252,=,=,0.4111267030239105,\,0.21651801466941833,-,0.08517422527074814,0.4111267030239105,1,6.419202691176906e-06,249,3.1257513910532e-05,117,1
\boxed{637}=637,=,{,0.9008041620254517,&,0.06770040094852448,is,0.0064367190934717655,0.006181024014949799,4,0.00012100391904823482,21,1.6927657270571217e-05,53,NULL
\boxed{-146}=-146,=,),0.5817698240280151,s,0.10356377065181732,is,0.07174213975667953,0.004007714334875345,22,9.937130380421877e-05,107,6.269080768106505e-05,139,NULL
\boxed{628}=628,=,{,0.4931984841823578,&,0.45898085832595825,(,0.018376749008893967,0.006202747579663992,4,9.121152106672525e-05,29,0.00020597083494067192,20,NULL
\boxed{-88}=-88,=,2,0.44547930359840393,[UNK],0.12427093088626862,add,0.10506530851125717,0.07407750934362411,4,1.3580883205577265e-05,324,7.776048391860968e-07,1157,NULL
\boxed{576}=576,=,",",0.6916228532791138,{,0.2069191336631775,&,0.04636899754405022,0.00019803376926574856,23,3.2277537798108824e-07,302,8.690252002452326e-07,184,NULL
\boxed{52}=52,=,(,0.39305347204208374,{,0.25310200452804565,&,0.20682302117347717,0.053796302527189255,4,5.2845589380012825e-05,66,0.00016917056927923113,37,NULL
\boxed{683}=683,=,{,0.9180473685264587,(,0.026868974789977074,&,0.018801983445882797,0.000830108649097383,12,4.672234354075044e-06,106,3.6284927773522213e-06,117,NULL
\boxed{-947}=-947,=,{,0.9028700590133667,},0.020341329276561737,⊆,0.009883882477879524,0.0003974268620368093,29,3.250195368309505e-05,133,2.0330495317466557e-05,186,NULL
\boxed{469}=469,=,{,0.9736143946647644,&,0.013085267506539822,1,0.0038760253228247166,0.0002017104416154325,12,3.1420649975189008e-06,62,8.222089036280522e-07,111,NULL
\boxed{-434}=-434,=,{,0.22760270535945892,(,0.15164096653461456,),0.14591071009635925,0.010067223571240902,12,1.82263338501798e-05,334,2.093193688779138e-05,318,NULL
\boxed{-119}=-119,=,{,0.4725693464279175,4,0.4027232229709625,-,0.024682871997356415,0.00218501640483737,12,5.811348819406703e-05,83,5.719910404877737e-05,86,NULL
\boxed{480}=480,=,\,0.7105587720870972,&,0.12290985137224197,:,0.0735551044344902,0.01336947176605463,6,1.3766666597803123e-05,64,0.03323166072368622,4,NULL
\boxed{455}=455,=,{,0.7916380763053894,\,0.11075565963983536,),0.022240713238716125,0.0004306321498006582,12,8.371903277293313e-07,207,5.962097475276096e-06,90,NULL
\boxed{667}=667,=,{,0.8799298405647278,&,0.06098697707056999,1,0.03648679330945015,0.0018422040157020092,8,8.595399776822887e-06,45,2.625504521347466e-06,78,NULL
\boxed{-584}=-584,=,{,0.558574914932251,(,0.3102185130119324,29,0.015373054891824722,0.0006499661831185222,31,4.6424167976510944e-07,1403,2.4419156829935673e-07,1936,NULL
\boxed{-822}=-822,=,2,0.33874133229255676,),0.3133723735809326,(,0.08125822991132736,0.04660575091838837,4,5.096109816804528e-05,128,8.026455907383934e-05,111,NULL
\boxed{-234}=-234,=,=,0.7071753740310669,1,0.04565681889653206,one,0.040001943707466125,0.7071753740310669,1,0.0015040658181533217,30,1.6650386669425643e-06,804,1
\boxed{809}=809,=,&,0.42045459151268005,{,0.38985949754714966,",",0.18000489473342896,5.2419509302126244e-05,19,1.1141413835957792e-07,336,7.539064199590939e-07,131,NULL
\boxed{-670}=-670,=,},0.8663705587387085,(,0.06945192813873291,_,0.009309587068855762,0.008697273209691048,4,0.0008929982432164252,12,6.242654490051791e-05,33,NULL
\boxed{-770}=-770,=,+,0.534130871295929,0,0.2121487557888031,h,0.06836235523223877,0.003075802931562066,20,0.0030811079777777195,19,1.3311477232491598e-05,104,NULL
\boxed{-867}=-867,=,{,0.8122552037239075,),0.05184706300497055,},0.03139861673116684,0.0042367842979729176,9,0.0004358288715593517,22,4.5588938519358635e-05,63,NULL
\boxed{962}=962,=,1,0.3367888629436493,{,0.14977160096168518,means,0.09504242241382599,0.01218362245708704,12,0.0018373795319348574,32,0.0017933058552443981,33,NULL
\boxed{910}=910,=,\,0.9238685369491577,=,0.03049471415579319,-,0.016112644225358963,0.03049471415579319,2,4.679136054619448e-06,74,6.538689234503181e-08,402,2
\boxed{470}=470,=,\,0.25649625062942505,&,0.23556731641292572,",",0.11619199067354202,0.025577209889888763,7,2.8758734060829738e-08,1727,1.3381371900322847e-05,103,NULL
